rrrrr | myemail@mydomain.com | wwwww
rrrrr | myemail@mydomain.com | wwwww
rrrrr | myemail@mydomain.com | wwwww
rrrrr | myemail@mydomain.com | wwwww
gfdgfd | ddddddddddddf | fgggggggggggg
eeee | eeeeqqqqq | tttttttt
eeee | eeeeqqqqq | tttttttt
 | myemail@mydomain.com | ssss
 | myemail@mydomain.com | sss
dsdff | ddddddddddd | aaaa
gfdsgf | myeddddmail@mydomain.com | sdad
ddddddddd | myemail@mydomain.com | gggggggg
dddddddd | myemail@mydomain.com | fffffffff
deeee | myemail@mydomain.com | ffffffff
eee | myemail@mydomain.com | ttt
eeeeeeeq | myemail@mydomain.com | qqqqqqqq
rrrrrrrrr | myemail@mydomain.com | *5g$D63s*uUosb*4
